rank,city,state,pop,p
1,New York,NY,8323338,0.099851751
2,Los Angeles,CA,4015936,0.048177575
3,Chicago,IL,2694236,0.03232167
4,Houston,TX,2340888,0.028082695
5,Phoenix,AZ,1703078,0.020431144
6,Philadelphia,PA,1591800,0.019096187
7,San Antonio,TX,1578027,0.018930958
8,San Diego,CA,1447100,0.017360279
9,Dallas,TX,1382267,0.016582503
10,San Jose,CA,1033673,0.012400561
11,Austin,TX,988218,0.011855255
12,Fort Worth,TX,932116,0.011182222
13,Jacksonville,FL,926371,0.011113302
14,Columbus,OH,922223,0.01106354
15,Charlotte,NC,905318,0.010860737
16,San Francisco,CA,896047,0.010749517
17,Indianapolis,IN,875929,0.010508169
18,Seattle,WA,783137,0.009394981
19,Denver,CO,734134,0.008807111
20,Washington,DC,720687,0.008645793
21,Boston,MA,710195,0.008519925
22,El Paso,TX,685575,0.008224569
23,Nashville,TN,673167,0.008075715
24,Detroit,MI,667272,0.008004995
25,Portland,OR,664103,0.007966978
26,Las Vegas,NV,662000,0.007941749
27,Oklahoma City,OK,655407,0.007862655
28,Memphis,TN,647374,0.007766286
29,Louisville,KY,624890,0.007496555
30,Baltimore,MD,590479,0.00708374
31,Milwaukee,WI,585589,0.007025077
32,Albuquerque,NM,561188,0.006732348
33,Tucson,AZ,553871,0.006644568
34,Fresno,CA,538195,0.00645651
35,Mesa,AZ,527666,0.006330198
36,Atlanta,GA,523738,0.006283075
37,Sacramento,CA,521769,0.006259454
38,Kansas City,MO,505198,0.006060658
39,Miami,FL,486388,0.005835002
40,Colorado Springs,CO,485946,0.005829699
41,Raleigh,NC,481958,0.005781857
42,Omaha,NE,470702,0.005646823
43,Long Beach,CA,463218,0.005557041
44,Virginia Beach,VA,447841,0.005372569
45,Minneapolis,MN,437069,0.005243342
46,Oakland,CA,435224,0.005221208
47,Tampa,FL,413704,0.004963041
48,Arlington,TX,402762,0.004831774
49,Tulsa,OK,396543,0.004757167
50,Bakersfield,CA,390233,0.004681469
51,New Orleans,LA,390128,0.004680209
52,Wichita,KS,388771,0.00466393
53,Aurora,CO,382742,0.004591602
54,Cleveland,OH,379233,0.004549506
55,Anaheim,CA,352911,0.004233732
56,Honolulu,HI,342933,0.00411403
57,Riverside,CA,336285,0.004034276
58,San Juan zona urbana,PR,331165,0.003972854
